Country,area,accidents
Australia,Cocos Islands,1
Australia,New South Wales,520
Australia,Norfolk Island,1
Australia,Northern Territory,27
Australia,Queensland,344
Australia,South Australia,109
Australia,Tasmania,44
Australia,Torres Strait,72
Australia,Unknown,15
Australia,Victoria,97
Australia,Western Australia,225
Brazil,Alagoas,2
Brazil,Bahia,3
Brazil,BalneÃ¡rio CamboriÃº,1
Brazil,Boi Island,1
Brazil,Fernando de Noronha,3
Brazil,MaranhÃ£o,5
Brazil,Paraiba,1
Brazil,Pernambuco,77
Brazil,Porto Seguro,1
Brazil,Rio Grande,3
Brazil,Rio de Janeiro,11
Brazil,Santa Catarina State,1
Brazil,SÃ£o Paulo.,2
Brazil,Unknown,8
Indonesia,30 nm from Singapore,1
Indonesia,Bali,7
Indonesia,East Flores,1
Indonesia,East Java,2
Indonesia,Jakarta Harbour,1
Indonesia,Java,3
Indonesia,Maluku Province,1
Indonesia,Moluccas,1
Indonesia,North Sumatra,1
Indonesia,Nusa Tenggara,1
Indonesia,Riau Province,1
Indonesia,Sumatra,1
Indonesia,Unknown,3
Mexico,Baja California,12
Mexico,Bay of Campeche,1
Mexico,Cabo San Lucas,1
Mexico,Colima,4
Mexico,Guerrero,22
Mexico,Guyamas,1
Mexico,Mexico / Caribbean Sea,1
Mexico,Oaxaca,2
Mexico,Quintana Roo,14
Mexico,Sinaloa,3
Mexico,Sonora,2
Mexico,Tabasco,1
Mexico,Tamaulipas,6
Mexico,Unknown,8
Mexico,Veracruz,20
Mexico,Yucatan,1
Papua New Guinea,"10ÂºS, 142ÂºE",1
Papua New Guinea,Abau Sub District,4
Papua New Guinea,"Admiralty Islands, Manus Province",8
Papua New Guinea,Bismarck Archipelago,6
Papua New Guinea,Bougainville,8
Papua New Guinea,Bwagaoia,1
Papua New Guinea,Calvados Archipelago,1
Papua New Guinea,Central Province,21
Papua New Guinea,East New Britain,1
Papua New Guinea,East Sepik,2
Papua New Guinea,Gulf Province,2
Papua New Guinea,Kikori River mouth,1
Papua New Guinea,Louisiade Archipelago,3
Papua New Guinea,Madang,22
Papua New Guinea,Milne Bay  Province,1
Papua New Guinea,Milne Bay Province,8
Papua New Guinea,Morobe Province,8
Papua New Guinea,New Britain,8
Papua New Guinea,New Ireland Province,19
Papua New Guinea,Northern District,1
Papua New Guinea,Oro Province,1
Papua New Guinea,Pacific Ocean,1
Papua New Guinea,Rigo subdistrict,1
Papua New Guinea,Sandaun Province,1
Papua New Guinea,Unknown,7
Papua New Guinea,West New Britain Province,7
Papua New Guinea,Western District,1
Papua New Guinea,Western Papuan Gulf,1
South Africa,Eastern Cape Province,167
South Africa,Eastern Province,1
South Africa,KwaZulu-Natal,220
South Africa,South Atlantic Ocean,1
South Africa,Transvaal,1
South Africa,Unknown,5
South Africa,Western Cape Province,197
South Africa,Western Province,1
Spain,Andalusia,6
Spain,Balearic Islands,2
Spain,Canary Islands,12
Spain,Catalunya,8
Spain,Eastern Catalona,1
Spain,Galicia,2
Spain,Ibiza,1
Spain,Malaga,2
Spain,Unknown,4
Spain,Valencia,3
Spain,hardhat diving,4
USA,Alabama,17
USA,Alaska,1
USA,BAHAMAS,1
USA,Bahamas,1
USA,CUBA,1
USA,California,320
USA,Carolina coast,1
USA,Cayman Islands,1
USA,Connecticut,6
USA,Delaware,8
USA,Duke of York Islands,2
USA,East New Britain Province,2
USA,East coast,2
USA,Florida,1154
USA,"Franklin County, Florida",1
USA,Georgia,17
USA,Guam,2
USA,Hawaii,330
USA,Illinois,1
USA,Johnston Atoll,1
USA,Kentucky,1
USA,Louisiana,17
USA,Maine,2
USA,Maryland,9
USA,Massachusetts,18
USA,Maui,2
USA,Midway Atoll,1
USA,Mississippi,8
USA,Missouri,1
USA,New Jersey,56
USA,New Mexico,1
USA,New York,42
USA,Noirth Carolina,1
USA,North & South Carolina,1
USA,North Carolina,120
USA,Oregon,31
USA,Palmyra Atoll,2
USA,Pennsylvania,1
USA,Puerto Rico,17
USA,Rhode Island,8
USA,South Carolina,169
USA,"South Coast, East New Britain",1
USA,Texas,77
USA,US Virgin Islands,5
USA,Unknown,6
USA,Virgin Islands,1
USA,Virginia,19
USA,Wake Island,1
USA,Washington,2
USA,West coast,1
